page,code,name,req,score,语数之和,语数最高,外语,物理,再选最高,再选次高,志愿号,备注,row
1,A00104,北京大学第04组,不限,679,253,129,143,85,96,92,1,国家专项计划,A00104 | 北京大学第04组 | 不限 | 679 | 253 | 129 | 143 | 85 | 96 | 92 | 1 | 国家专项计划
1,A00105,北京大学第05组,化,691,260,134,145,96,97,93,1,,A00105 | 北京大学第05组 | 化 | 691 | 260 | 134 | 145 | 96 | 97 | 93 | 1
1,A00106,北京大学第06组,化,677,252,130,135,98,91,91,4,国家专项计划,A00106 | 北京大学第06组 | 化 | 677 | 252 | 130 | 135 | 98 | 91 | 91 | 4 | 国家专项计划
1,A00209,中国人民大学第09组,不限,684,256,132,145,97,95,91,1,,A00209 | 中国人民大学第09组 | 不限 | 684 | 256 | 132 | 145 | 97 | 95 | 91 | 1
1,A00210,中国人民大学第10组,不限,678,262,131,145,92,91,88,1,,A00210 | 中国人民大学第10组 | 不限 | 678 | 262 | 131 | 145 | 92 | 91 | 88 | 1
1,A00211,中国人民大学第11组,不限,666,261,136,130,94,91,90,5,,A00211 | 中国人民大学第11组 | 不限 | 666 | 261 | 136 | 130 | 94 | 91 | 90 | 5
1,A00212,中国人民大学第12组,不限,649,233,119,138,90,92,86,1,国家专项计划,A00212 | 中国人民大学第12组 | 不限 | 649 | 233 | 119 | 138 | 90 | 92 | 86 | 1 | 国家专项计划
1,A00213,中国人民大学第13组,化,671,255,128,140,87,95,94,2,,A00213 | 中国人民大学第13组 | 化 | 671 | 255 | 128 | 140 | 87 | 95 | 94 | 2
1,A00214,中国人民大学第14组,化,646,246,127,130,86,96,88,1,国家专项计划,A00214 | 中国人民大学第14组 | 化 | 646 | 246 | 127 | 130 | 86 | 96 | 88 | 1 | 国家专项计划
1,A00304,清华大学第04组,不限,692,264,136,145,89,99,95,1,】,A00304 | 清华大学第04组 | 不限 | 692 | 264 | 136 | 145 | 89 | 99 | 95 | 1 | 】
1,A00305,清华大学第05组,不限,677,256,134,137,95,90,89,B1,国家专项计划,A00305 | 清华大学第05组 | 不限 | 677 | 256 | 134 | 137 | 95 | 90 | 89 | B1 | 国家专项计划
1,A00306,清华大学第06组,化,690,263,139,145,93,97,S92,1,,A00306 | 清华大学第06组 | 化 | 690 | 263 | 139 | 145 | 93 | 97 | S92 | 1
1,A00307,清华大学第07组,化,686,267,139,142,98,94,Z85,1,国家专项计划,A00307 | 清华大学第07组 | 化 | 686 | 267 | 139 | 142 | 98 | 94 | Z85 | 1 | 国家专项计划
1,A00308,清华大学第08组,化,678,267,145,室130,94,S94,93,2,国家专项计划,A00308 | 清华大学第08组 | 化 | 678 | 267 | 145 | 室130 | 94 | S94 | 93 | 2 | 国家专项计划
1,A00309,清华大学第09组,化,685,264,公135,138,98,B94,91,1,,A00309 | 清华大学第09组 | 化 | 685 | 264 | 公135 | 138 | 98 | B94 | 91 | 1
1,A00402,北京交通大学第02组,不限,617,225,113,130,H79,93,90,14,,A00402 | 北京交通大学第02组 | 不限 | 617 | 225 | 113 | 130 | H79 | 93 | 90 | 14
1,A00403,北京交通大学第03组,化,636,办229,119,【135,91,93,88,6,,A00403 | 北京交通大学第03组 | 化 | 636 | 办229 | 119 | 【135 | 91 | 93 | 88 | 6
1,A00404,北京交通大学第04组,化,634,249,128,129,90,88,78,11,,A00404 | 北京交通大学第04组 | 化 | 634 | 249 | 128 | 129 | 90 | 88 | 78 | 11
1,A00406,北京交通大学第06组,招化,605,办229,118,121,87,87,81,3,,A00406 | 北京交通大学第06组 | 招化 | 605 | 办229 | 118 | 121 | 87 | 87 | 81 | 3
1,A00407,北京交通大学第07组,化,613,232,117,134,83,85,79,15,,A00407 | 北京交通大学第07组 | 化 | 613 | 232 | 117 | 134 | 83 | 85 | 79 | 15
1,A00409,育北京交通大学第09组,化,599,220,118,130,75,82,82,9,民族班,A00409 | 育北京交通大学第09组 | 化 | 599 | 220 | 118 | 130 | 75 | 82 | 82 | 9 | 民族班
1,A00604,教北京航空航天大学第04组,北化,639,235,121,142,82,91,89,4,,A00604 | 教北京航空航天大学第04组 | 北化 | 639 | 235 | 121 | 142 | 82 | 91 | 89 | 4
1,A00605,省北京航空航天大学第05组,化,647,240,121,132,98,90,87,3,国家专项计划,A00605 | 省北京航空航天大学第05组 | 化 | 647 | 240 | 121 | 132 | 98 | 90 | 87 | 3 | 国家专项计划
1,A00606,湖北京航空航天大学第06组,化,643,236,119,130,90,91,86,3,民族班,A00606 | 湖北京航空航天大学第06组 | 化 | 643 | 236 | 119 | 130 | 90 | 91 | 86 | 3 | 民族班
1,A00702,北【北京理工大学第02组,化,652,239,123,139,94,96,84,1,,A00702 | 北【北京理工大学第02组 | 化 | 652 | 239 | 123 | 139 | 94 | 96 | 84 | 1
1,A00703,湖北京理工大学第03组,化,638,248,127,139,86,88,77,7,国家专项计划,A00703 | 湖北京理工大学第03组 | 化 | 638 | 248 | 127 | 139 | 86 | 88 | 77 | 7 | 国家专项计划
1,A00704,号北京理工大学第04组,化,631,235,118,130,86,87,83,7,民族班,A00704 | 号北京理工大学第04组 | 化 | 631 | 235 | 118 | 130 | 86 | 87 | 83 | 7 | 民族班
1,A00802,众北京科技大学第02组,不限,622,236,122,139,70,90,87,1,,A00802 | 众北京科技大学第02组 | 不限 | 622 | 236 | 122 | 139 | 70 | 90 | 87 | 1
1,A00803,北京科技大学第03组,化,624,233,120,120,91,92,88,1,,A00803 | 北京科技大学第03组 | 化 | 624 | 233 | 120 | 120 | 91 | 92 | 88 | 1
1,A00804,公北京科技大学第04组,化,624,220,111,134,84,94,92,6,,A00804 | 公北京科技大学第04组 | 化 | 624 | 220 | 111 | 134 | 84 | 94 | 92 | 6
1,A00805,信北京科技大学第05组,化,599,204,108,127,82,90,86,6,国家专项计划,A00805 | 信北京科技大学第05组 | 化 | 599 | 204 | 108 | 127 | 82 | 90 | 86 | 6 | 国家专项计划
1,A01002,北京化工大学第02组,不限,586,224,125,118,75,80,79,15,少数民族预科班,A01002 | 北京化工大学第02组 | 不限 | 586 | 224 | 125 | 118 | 75 | 80 | 79 | 15 | 少数民族预科班
1,A01003,微北京化工大学第03组,化,608,232,121,125,74,90,87,6,,A01003 | 微北京化工大学第03组 | 化 | 608 | 232 | 121 | 125 | 74 | 90 | 87 | 6
1,A01004,北京化工大学第04组,化,612,233,120,135,82,85,77,10,,A01004 | 北京化工大学第04组 | 化 | 612 | 233 | 120 | 135 | 82 | 85 | 77 | 10
1,A01005,北京化工大学第05组,化,596,221,116,123,79,88,85,6,国家专项计划,A01005 | 北京化工大学第05组 | 化 | 596 | 221 | 116 | 123 | 79 | 88 | 85 | 6 | 国家专项计划
1,A01302,北京邮电大学第02组,不限,619,239,122,131,80,90,79,3,国家专项计划,A01302 | 北京邮电大学第02组 | 不限 | 619 | 239 | 122 | 131 | 80 | 90 | 79 | 3 | 国家专项计划
1,A01303,北京邮电大学第03组,化,614,225,113,128,86,88,77,1,少数民族预科班,A01303 | 北京邮电大学第03组 | 化 | 614 | 225 | 113 | 128 | 86 | 88 | 77 | 1 | 少数民族预科班
1,A01304,北京邮电大学第04组,化,644,241,127,129,89,93,92,1,,A01304 | 北京邮电大学第04组 | 化 | 644 | 241 | 127 | 129 | 89 | 93 | 92 | 1
1,A01305,北京邮电大学第05组,化,636,235,121,141,92,85,83,3,,A01305 | 北京邮电大学第05组 | 化 | 636 | 235 | 121 | 141 | 92 | 85 | 83 | 3
1,A01306,北京邮电大学第06组,化,625,230,119,133,86,90,86,3,国家专项计划,A01306 | 北京邮电大学第06组 | 化 | 625 | 230 | 119 | 133 | 86 | 90 | 86 | 3 | 国家专项计划
1,A01904,中国农业大学第04组,不限,625,225,122,135,90,91,84,9,,A01904 | 中国农业大学第04组 | 不限 | 625 | 225 | 122 | 135 | 90 | 91 | 84 | 9
1,A01905,中国农业大学第05组,不限,605,233,122,124,79,87,82,4,,A01905 | 中国农业大学第05组 | 不限 | 605 | 233 | 122 | 124 | 79 | 87 | 82 | 4
1,A01906,中国农业大学第06组,化,627,234,119,131,95,85,72,6,,A01906 | 中国农业大学第06组 | 化 | 627 | 234 | 119 | 131 | 95 | 85 | 72 | 6
1,A01907,中国农业大学第07组,化,619,235,122,118,89,90,87,9,,A01907 | 中国农业大学第07组 | 化 | 619 | 235 | 122 | 118 | 89 | 90 | 87 | 9
2,A01908,中国农业大学第08组,化,610,220,122,136,67,90,87,10,国家专项计划,A01908 | 中国农业大学第08组 | 化 | 610 | 220 | 122 | 136 | 67 | 90 | 87 | 10 | 国家专项计划
